SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
,,MIADAN KILLI.,031030250,-,,66,66,,,
,,SAMANDAR KILLI,031030251,-,,33,33,,,
,,GANDAOO ZARIF KILLI.,031030252,-,,46,46,,,
,,BAZ MUHAMMAD KILI.,031030253,-,,0,0,,,
,,SARI KILLI.,031030254,-,,0,0,,,
,,LARI KILLI,031030255,-,,0,0,,,
,,MUHAMMAD KHAN KILLI.,031030256,-,,73,73,,,
,,SPIN QABAR NO. 2,031030257,-,,78,78,,,
,,GUL BADSHAH KILLI.,031030258,-,,0,0,,,
,,TANDI KILLI.,031030259,-,,0,0,,,
,,HAJI JUMMA KHAN KILLI.,031030260,-,,21,21,,,
,,JAHANSI FORTE,031030261,-,,0,0,,,
36,GPS* PAKA TARAH,KHAWAJA KHEL,031030266,-,761,,761,3,3,
,,PAKA TARAH*,031030265,-,593,,593,,,
37,GPS* SHINKI (MALE),SHINKI KAMAR,031030263,-,292,,292,3,3,
,,SARKI KAMAR,031030262,-,471,,471,,,
,,KHATOONAI,031030264,-,415,,415,,,
,,AMIN SHAH KILLI,031030267,-,395,,395,,,
,,ATTARI,031030268,-,328,,328,,,
38,GHS* SPIN DHAND. (MALE),MALIK HASHIM KILLI,031030301,-,235,,235,3,3,
,,GHANDAL KHAN KILLI.,031030302,-,994,,994,,,
,,SPIN DHAND,031030304,-,261,,261,,,
39,GHS* SPIN DHAND*,SHAH KAS KILLI,031030303,-,1191,,1191,2,,2
40,GPS* SUR KASS (MALE),HAIDER GUL KILLI,031030305,-,427,,427,3,,3
,,DARYA KHAN KILLI,031030306,-,534,,534,,,
,,GUL ZAMAN KILLI.,031030308,-,349,,349,,,
41,BHU* JAN KHAN KILLI* (MALE),CHIRLAGI,031030309,-,395,,395,2,,2
,,KHIASTHA KHAN KILLI,031030310,-,232,,232,,,
,,SARMAST KILLI,031030311,-,236,,236,,,
,,KHAN AHMED KILLI,031030312,-,274,,274,,,
,,SAID BADSHAH KILLI,031030313,-,135,,135,,,
42,BHU* ABDULLAH JAN KILLI (MALE),BARAN DHAND,031030314,-,353,,353,2,,2
,,FAQUIR DHAND,031030315,-,322,,322,,,
,,SOOR KAMAR,031030316,-,241,,241,,,
43,GGMS* WALI KHEL (FEMALE),MALIK HASHIM KILLI,031030301,-,,44,44,,2,2
,,GHANDAL KHAN KILLI,031030302,-,,25,25,,,
,,SHAH KAS KILLI,031030303,-,,93,93,,,
,,SPIN DHAND,031030304,-,,84,84,,,
,,HAIDER GUL KILLI,031030305,-,,0,0,,,
,,DARYA KHAN KILLI,031030306,-,,80,80,,,
,,GUL ZAMAN KILLI,031030308,-,,48,48,,,
,,CHIRLAGI,031030309,-,,0,0,,,
,,KHIASTHA KHAN KILLI,031030310,-,,0,0,,,
,,SARMAST KILLI,0310303011,-,,78,78,,,
,,KHAN AHMED KILLI,0310303012,-,,64,64,,,
,,SAID BADSHAH KILLI,031030313,-,,0,0,,,
,,BARAN DHAND,031030314,-,,42,42,,,
,,FAQUIR DHAND,031030315,-,,182,182,,,
,,SOOR KAMAR,031030316,-,,1,1,,,
,,SARKI KAMAR,031030262,-,,11,11,,,
,,SHINKI KAMAR,031030263,-,,13,13,,,
,,KHATOONAI,031030264,-,,0,0,,,
,,PAKA TARAH.,031030265,-,,247,247,,,
,,KHAWAJA KHEL,031030266,-,,34,34,,,
,,AMIN SHAH KILLI,031030267,-,,52,52,,,
,,ATTARI,031030268,-,,74,74,,,
,,NEHER TNDEL,031030356,-,,0,0,,,
,,TOOTKAI DHAND,031030357,-,,28,28,,,
,,WALI ABAD,031030358,-,,114,114,,,
,,SUM BABA,031030359,-,,141,141,,,
,,HISARA KUWAR,031030360,-,,48,48,,,
,,CHIRLANGA,031030361,-,,0,0,,,
,,JAN KHAN KILLI,031030362,-,,108,108,,,
