SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
82,BOYS PS PIR WALA,PIR WALA,B-802,-,,550,550,,1,1
,,PIR WALA,B-803,-,,236,236,,,
83,BOYS ES SHAH SADIQ NEHANG (MALE),S.S. NEHANG,B-701,-,454,,454,2,,2
,,S.S. NEHANG,B-702,-,901,,901,,,
84,GIRLS ES SHAH SADIQ NEHANG (FEMALE),S.S NEHANG,B-701,-,,400,400,,2,2
,,S.S NEHANG,B-702,-,,754,754,,,
85,BOYS PS KOT MIRZA,KOT MIRZA,B-703,-,409,324,733,1,1,2
,,KOT MIRZA,B-704,-,333,264,597,,,
86,B H.S QAIM BHARWANA,QAIM BHARWANA,B-801,-,332,266,598,1,1,2
,,QAIM BHARWANA,B-802,-,339,255,594,,,
,,QAIM BHARWANA,B-803,-,232,179,411,,,
87,GIRLS HIGH SCHOOL QAIM BHARWANA (OLD BUILDING),QAIM BHARWANA,B-804,-,206,154,360,2,1,3
,,QAIM BHARWANA,B-805,-,240,190,430,,,
,,QAIM BHARWANA,B-806,-,269,194,463,,,
,,QAIM BHARWANA,B-807,-,159,147,306,,,
88,OFFICE UC QAIM BHANWANA,QAIM BHARWANA,B-808,-,707,518,1225,1,1,2
89,GIRLS HS QAIM BHANWANA (NEW BUILDING),QAIM BHARWANA,B-809,-,777,509,1286,1,1,2
90,VENTRY DISPINCERY MERIK ,MERIK SIAL,B-401,-,821,642,1463,2,1,3
91,GIRLS ES MERIK SIAL (FEMALE),MERIK SIAL,B-402,-,,1039,1039,,2,2
,,MERIK SIAL,B-403,-,,477,477,,,
92,BOYS ES MERIK SIAL (MALE),MERIK SIAL,B-402,-,1168,,1168,3,,3
,,MERIK SIAL,B-403,-,640,,640,,,
93,GOVT BOYS PS KAKO WALA ,KAKO WALA,B-404,-,1102,,1102,2,,2
94,GIRLS PS KAKO WALA ,KAKO WALA,B-404,-,,732,732,,1,1
